**ACTUATORS**
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 1 WINDOW SOUTH,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 1 WINDOW SOUTH,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 2 WALL SOUTH,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 2 WALL SOUTH,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 2 WALL NORTH,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 2 WALL NORTH,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 2 WALL WEST,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 2 WALL WEST,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 2 WALL EAST,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 2 WALL EAST,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 2 FLOOR,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 2 FLOOR,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 2 ROOF,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 2 ROOF,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 2 WINDOW SOUTH,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 2 WINDOW SOUTH,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 3 WALL SOUTH,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 3 WALL SOUTH,[W/m2-K]
